,figurative,include,start_localtime,network,spoken_by,text,URL,program_name
0,True,True,2016-07-12 23:00:00,CSPAN,Evan Jenkins (R-West Virginia; 3rd District),"<b></b> <em>environmental</em> <em>protection</em> <em>agency</em> <b>was</b> <b>responsible</b> for the blowout of the gold king mine in colorado that spilled three million gallons of wastewater, impacting new mexico, colorado, utah, arizona and the navajo nation. i was in farmington, new mexico, when the toxic plume turned the river there yellow. i met with the community and heard their concerns about the toll that the spill was taking on businesses, farmers, families, individuals. madam chair, we are almost one year removed from the spill and in communities that have been impacted, there remains serious concerns about the long-term effects that the spill will have on the river and all that its water sustains from drinking water to farming and livestock. monitoring is essential to ensure that they have the data they need to protect the health on all those who rely on this water. unfortunately, the state of new mexico and the e.p.a. have been unable to agree on what the long-term monitoring should look like. as a result, the state has moved ahead with a lawsuit against the e.p.a.. madam chair, it's disappointing it has come to this ",https://archive.org/details/CSPAN_20160712_230000_US_House_of_Representatives_Special_Orders,US House of Representatives Special Orders
1,False,False,2017-02-20 01:32:00,CSPAN3,," commute. ♪ hawkins is a federal regulator <b>for</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em>. <b>his</b> <b>job,</b> like the ever-changing face of the city, is the result of the relentless growth of our government. ♪ a century ago, it was relatively simple. under the great capitol dome, laws were passed and the nation followed. but today, our laws are many and complex. every morning, this city's grand avenues are filled with an army of 100,000 federal workers, regulators whose tasks are to implement and enforce the will of congress. to those who defend it, regulation is an absolute necessity in making modern society run. but to its detractors, these agencies represent a bureaucratic monster that generates thousands of unnecessary rules, producing a stranglehold on our economy, our lives, even the air we breathe. ♪ a political appointee of the carter white house, hawkins was chosen to regulate our air pollution laws. he will be a key figure in a clean-air battle to unfold in the months ahead. a lifelong environmentalist, he has strong opinions on our government's obligations. >> regulation tends to be de",https://archive.org/details/CSPAN3_20170220_013200_The_Regulators,The Regulators
2,True,True,2016-09-21 20:00:00,CSPAN,"Bob Goodlatte (R-Virginia), Tom Marino (R-Pennsylvania; 10th District)"," <b>michigan</b> <b>v.</b> <em>e.p.a</em>. <b>where</b> <b>the</b> court remanded a clean air rule adopted <b>by</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em> <b>to</b> <b>reduce</b> omissions of pollutants. as william funk has noted, they have remanded the rule rather than vacating the rule because, quote, the grounds upon which the supreme court found the rule invalid appeared to be easily remedied. and he said that delaying this rule will cost the economy $20 million to $80 billion per year. -- $20 billion to $80 billion per year. state challengers to the e.p.a. rule at issue in michigan v. e.p.a. did not seek judicial stay of the rule prior to the court's remand. perhaps that's because they knew it would fail and that they could not meet the judicial tests requiring shores or irreparable harm and likelihood of success on the merits. these challenges are hardly in a good position to complain now about the rule being found unlawful in one respect but not unlawful with respect to every other issue raised by the challengers when they themselves even asked -- even failed to ask the court to stay the rule beforehand. furthermore, notwithstanding the majority'",https://archive.org/details/CSPAN_20160921_200000_U.S._House_of_Representatives_Legislative_Business,U.S. House of Representatives Legislative Business
3,True,False,2016-04-12 18:15:00,CSPAN2,Barbara Mikulski (D-Maryland; Senate)," mine spill. in this disaster the <b>united</b> <b>states</b> <em>environmental</em> <em>protection</em> <em>agency</em> <b>caused</b> <b>a</b> spill of 3 million gallons of toxic wastewater into a tributary of the animus river in colorado. before, this was after. people all across the country remember this picture and the poisoning of this river by the e.p.a. this plume of toxic waste threatened people in colorado, new mexico and utah. it stretched to the land of the navajo nation and the southern ute indian tribe. when the indian affairs committee held a hearing of the gold king mine spill last september, we heard testimony from russell bigay. now, he's the president of the navajo nation, which has lands roughly the size of the state of west virginia, very large piece of land. president bigay told our committee that for the navajo people, water is sacred and the river is life for all of us. he said today we're afraid to use the river with an emphasis, he said, on the word ""afraid."" the e.p.a. caused that spill more than eight months ago because it made crucial mistakes critical mistakes and it failed to take basic precautions. well, w",https://archive.org/details/CSPAN2_20160412_181500_US_Senate,US Senate
4,False,False,2016-01-24 04:00:00,ALJAZAM,," attorney <b>with</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em>, <b>what</b> <b>is</b> the responsibility of the federal government and specifically the epa to protect drinking water for all american citizens? >> theoretically epa oversees the states and the local governments who are supposed to be primarily responsible for making sure that our water is safe, but what has happened repeatedly is the epa has become afraid of its own shadow. it has been beaten up for being too reticent to take action which is really unfortunate because their budgets have been slashed and so we see it starting to have an effect. we would like to see epa much stronger and aggressive. we think they dropped the ball here. we need to see more action by the federal epa overseeing the states and localities >>> one of the reasons behind flint's power crisis is because the government didn't appeared chemicals. -- add chemical is >> cities are supposed to add a chemical to their water that coats the inside of the pipes with a thin film. it is called a corrosion inhibitor that redecency-- reduces the amount of led leaching into the w",https://archive.org/details/ALJAZAM_20160124_040000_Weekend_News,Weekend News
5,False,False,2016-01-12 22:00:00,WJLA,," <b>with</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em>. <b>see</b> <b>if</b> somebody would come in and do something. correct the problem. kevin: to that point, prince george's county public school says it launched a new system wide test across the school district for radon. the goal of completing every school by april. you imagine if there is a need for remediation this time around they'd do it. we will stay on top of the story. alison: thank you so much. well d.c. fire and e.m.s. is now racing to close a loophole the d.c. council thought it closed months ago that allowed a fire lieutenant to retire before facing discipline for mistakes in a case where a child died. this is the second time that exact scenario has played out. our d.c. bureau chief sam ford is in northwest d.c. how did the loophole stay open? sam: well, alison this is a situation like you passed a law to tell me to do something and i don't do it because i said well, i forgot. we are standing in front of the engine 20 fire house where a fire lieutenant facing disciplinary charges as you mentioned from last march involving the death of a toddle",https://archive.org/details/WJLA_20160112_220000_ABC7_News_at_5,ABC7 News at 5
6,True,True,2017-02-02 15:59:00,CSPAN2,John Cornyn (R-Texas; Senate)," in <b>mind,</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em> <b>is</b> <b>taking</b> a more skeptical look at mountaintop mining permits and the clean water act gives government wide authority over the industry operations and the changes that they are seeing to rivers and streams. it has used its efforts in some cases where there was concern to revoke a permit and has instructed branches and offices to be more careful. the coal industry and its allies, we've heard some of them here, skeptical about this, skeptical of a mountaintop removal are -- quote -- trying to promote an anticoal, antibusiness environment as a pawn in this effort to -- quote -- grab power and put social ideology. the, -- quote -- g.o.p.-controlled house passed a bill trying to strip the e.p.a. from its authority, but this month, because this was a couple of years ago, the obama administration once again prevailed in court, beating back another challenge. this editorial ends by saying the emerging science evidence should cut through the rhetoric, that the e.p.a. was right to move and to protect health and the environment, and we are right to",https://archive.org/details/CSPAN2_20170202_155900_U.S._Senate_Advances_HHS_Secretary_Nomination,U.S. Senate Advances HHS Secretary Nomination
7,True,False,2016-12-29 15:00:00,CSPAN,," commerce want to learn? >> the people testifying are administrator <b>of</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em>, <b>gina</b> <b>mccarthy,</b> and the michigan governor rick snyder, who is a republican. of congressmembers had a lot of questions for them. they wanted to know what went wrong, whose fault it was, why things were not taken care of earlier, by someone did not catch this earlier, why they did not listen to experts, my they were not hearing some of the early warnings from residents who were complaining about it, and the muddy looking water and smelly water? >> how does politics playing to the questioning of the witnesses? >> from the beginning, flint was -- unfortunately, it became a blame game. something you will hearing hearings is democrats are really state ofof the michigan, which is led by republican governor, and run by the republican majority legislature. they wanted to know again why the residents were not listen to come why the complaints were dismissed, and lessen the outside experts who tried to sound the alarm early on were dismissed and not listen to two earlier on. republican side, they focu",https://archive.org/details/CSPAN_20161229_150000_Public_Affairs_Events,Public Affairs Events
8,False,False,2017-01-26 01:00:00,KPIX,,". >>> president trump is cracking down hard <b>on</b> <b>the</b> <em>environmental</em> <em>protection</em> <em>agency</em>. <b>the</b> <em>epa</em>. <b>the</b> <b>white</b> house ordered that any studies or data from scientists now must be reviewed by political appointees before they can be released to the public. that includes reports on climate change. yesterday, the white house sent a memo to the epa ordering a media blackout including no social media, no blog posts, and a careful screening of all media requests. >>> meantime, someone in the national park service office in downtown san francisco is being blamed for tweeting against the white house stance on climate change. the white house press secretary says someone in the office here in san francisco somehow got their hands on the badlands national park account. and then sent out the three tweets. here's a look at what they say. one was focused on statistics about the acidity of the ocean. the other two talked about carbon dioxide. the three tweets were up only for a few hours before they were removed. the park service has since told to stop all twitter activity. >>> coming up in weather, which one day yo",https://archive.org/details/KPIX_20170126_010000_KPIX_5_News_at_5PM,KPIX 5 News at 5PM
9,True,True,2017-01-05 18:59:00,CSPAN,Tom Marino (R-Pennsylvania; 10th District),". the gentleman from virginia is recognized. mr. goodlatte: <b>mr.</b> <b>chairman,</b> <em>regulatory</em> <b>reform</b> <b>plays</b> a critical role in ensuring that our nation finally achieves a full economic recovery and retains its competitive edge in the global marketplace. congress must advance pro-growth policies that create jobs and restore economic prosperity for families and businesses across the nation and makes sure that any administration and it's regulatory apparatus is held accountable to the american people. america's small business owners are suffocating under mountains of endlessly growing bureaucratic red tape. the uncertainty about the cost of upcoming regulations discourages employers from hiring new employees and expanding their businesses. excessive regulation means higher prices, lower wages, fewer jobs, less economic growth, and a less competitive america. today americans face a burden of over $3 trillion per year from federal taxation and regulation. in fact, our federal regulatory burden is larger than the 2014 domestic gross product of all but the top eight countries in the world. that burd",https://archive.org/details/CSPAN_20170105_185900_U.S._House_Legislative_Business,U.S. House Legislative Business
